regional_id;субъект РФ;орган соцзащиты;официальное наименование организаций;региональный закон о соцобслуживании;порядок предоставления стационарных услуг;натуральные нормы;финансовый норматив;предельно допустимый размер платы;государственное задание;выбор блюд;фиксация выбора;пищеблок/аутсорсинг;результаты проверок;источник данных;статус верификации;URL;дата проверки;применимость вывода
REG_001;г. Москва;Департамент труда и соцзащиты;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_002;Санкт-Петербург;Комитет по социальной политике;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_003;Московская обл.;Минсоцразвития МО;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_004;Ленинградская обл.;Комитет по соцзащите;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_005;Республика Татарстан;Минтруд РТ;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_006;Республика Башкортостан;Минсемьи РБ;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_007;Нижегородская обл.;Минсоцполитики НО;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_008;Свердловская обл.;Минсоцполитики СО;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_009;Новосибирская обл.;Минтруда НСО;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_010;Пермский край;Минсоцразвития ПК;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_011;Краснодарский край;Минтруда КК;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_012;Красноярский край;Минсоцполитики КК;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_013;ХМАО-Югра;Депсоцразвития Югры;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
REG_014;ЯНАО;Депсоцзащиты ЯНАО;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;требует проверки;не подтверждено;—;требует проверки;не обнаружены;не верифицировано;;2026-07-22;только после проверки
